2021-11-22 11:44:55,861 INFO       decos Произошел вызов функции arg_parser со следующими параметрами - (), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:44:55,862 INFO       server Сервер запущен. Порт для подключения: 7777, адрес: . При отсутствии адреса сервер принимает соединения со любых адресов
2021-11-22 11:44:55,863 INFO       server Настройка сокета завершена.
2021-11-22 11:44:55,911 INFO       server Соединение с ('127.0.0.1', 58389) установлено
2021-11-22 11:44:55,932 INFO       server Соединение с ('127.0.0.1', 58390) установлено
2021-11-22 11:44:55,933 INFO       decos Произошел вызов функции get_message со следующими параметрами - (<socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>,), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:44:55,933 INFO       server Разбор сообщения {'action': 'presence', 'time': 1637570695.911197, 'user': {'account_name': 'test1'}}.
2021-11-22 11:44:55,934 INFO       decos Произошел вызов функции send_message со следующими параметрами - (<socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, {'response': 200}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:44:55,934 INFO       server Зарегистрирован новый пользователь <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>.
2021-11-22 11:44:55,935 INFO       decos Произошел вызов функции process_user_message со следующими параметрами - ({'action': 'presence', 'time': 1637570695.911197, 'user': {'account_name': 'test1'}}, [], <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, [<socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>], {'test1': <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:44:55,968 INFO       server Соединение с ('127.0.0.1', 58391) установлено
2021-11-22 11:44:55,969 INFO       decos Произошел вызов функции get_message со следующими параметрами - (<socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>,), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:44:55,969 INFO       server Разбор сообщения {'action': 'presence', 'time': 1637570695.932203, 'user': {'account_name': 'test2'}}.
2021-11-22 11:44:55,970 INFO       decos Произошел вызов функции send_message со следующими параметрами - (<socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>, {'response': 200}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:44:55,970 INFO       server Зарегистрирован новый пользователь <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>.
2021-11-22 11:44:55,971 INFO       decos Произошел вызов функции process_user_message со следующими параметрами - ({'action': 'presence', 'time': 1637570695.932203, 'user': {'account_name': 'test2'}}, [], <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>, [<socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>, <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>], {'test1': <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, 'test2': <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:44:56,017 INFO       server Соединение с ('127.0.0.1', 58392) установлено
